date,Argentina_/search,Mexico_/search,Colombia_/search,Spain_/search,Peru_/search,Chile_/search,CostaRica_/search,Cuba_/search,DominicanRepublic_/search,Ecuador_/search,ElSalvador_/search,Guatemala_/search,Honduras_/search,Nicaragua_/search,Panama_/search,Uruguay_/search,Venezuela_/search,Bolivia_/search,Paraguay_/search,/search_total,Argentina_/es/search,Mexico_/es/search,Colombia_/es/search,Spain_/es/search,Peru_/es/search,Chile_/es/search,CostaRica_/es/search,Cuba_/es/search,DominicanRepublic_/es/search,Ecuador_/es/search,ElSalvador_/es/search,Guatemala_/es/search,Honduras_/es/search,Nicaragua_/es/search,Panama_/es/search,Uruguay_/es/search,Venezuela_/es/search,Bolivia_/es/search,Paraguay_/es/search,/es/search_total,Proportion
1/11/2022,67,600,333,367,233,100,0,0,67,133,0,33,0,33,0,0,0,100,0,2066,33,267,733,467,100,67,33,0,0,0,0,0,0,0,0,0,33,0,0,1733,0.456172677
1/12/2022,233,1433,933,1333,900,267,100,33,33,400,0,67,0,0,0,0,0,133,67,5932,333,800,1233,1733,167,433,67,0,67,100,33,67,0,0,33,33,33,133,0,5265,0.470215236
1/1/2023,133,1467,1133,1267,600,433,267,0,67,833,67,67,33,0,0,0,67,67,0,6501,133,700,1233,1967,233,467,33,0,0,333,0,100,0,0,0,33,167,167,0,5566,0.461257976
1/2/2023,200,2933,1733,1667,600,300,33,33,200,333,33,100,67,0,33,67,67,0,33,8432,267,1000,2433,2033,133,300,100,67,133,367,0,233,0,0,0,0,67,100,0,7233,0.461729971
1/3/2023,267,2333,1900,1867,600,300,133,0,100,400,33,167,33,133,33,33,33,100,67,8532,367,2533,2700,2567,67,367,67,0,167,267,100,0,33,0,33,0,100,167,33,9568,0.528618785
1/4/2023,267,1433,1800,1967,767,467,0,0,100,267,33,100,33,0,0,67,0,33,67,7401,300,1900,2867,2367,500,367,33,33,100,233,0,200,0,0,33,33,33,33,0,9032,0.549625753
1/5/2023,200,1700,2467,2300,900,467,167,0,167,333,67,67,0,0,33,0,133,33,0,9034,467,3067,3800,2633,667,733,167,0,200,467,67,167,0,0,0,67,67,100,0,12669,0.583744183
1/6/2023,267,1833,1167,1700,700,600,133,67,33,333,33,33,33,0,67,33,33,167,0,7232,500,1500,2500,1600,900,600,233,0,0,633,67,33,67,33,167,0,67,100,0,9000,0.554460325
1/7/2023,400,1167,1700,1700,1033,833,33,33,33,700,0,100,33,33,67,100,0,100,100,8165,233,1600,2933,1333,1233,700,100,67,33,600,100,133,0,100,300,33,133,200,0,9831,0.546288064
1/8/2023,433,1800,2033,1067,633,833,200,33,33,300,33,167,0,0,0,133,133,167,67,8065,233,1600,3933,1333,600,767,33,0,100,833,133,200,67,0,67,33,100,100,0,10132,0.556795076
1/9/2023,333,1700,2200,1800,733,667,133,33,67,167,67,167,0,33,67,33,67,67,33,8367,233,2733,3167,1600,567,533,100,167,67,467,0,100,133,33,67,67,0,67,67,10168,0.54858376
1/10/2023,300,2033,1733,2100,567,533,67,133,233,167,0,200,67,0,67,67,0,167,0,8434,367,3533,3967,2100,1200,633,100,0,200,533,0,300,133,0,67,0,0,33,33,13199,0.610132668
1/11/2023,633,1833,2200,2067,467,467,233,167,167,567,0,67,33,33,67,67,100,0,33,9201,733,3633,4433,2367,833,600,233,33,200,433,0,67,100,0,0,0,33,133,0,13831,0.600512331
1/12/2023,233,1167,1567,1867,333,467,33,100,67,333,0,100,67,0,33,67,0,133,0,6567,200,1400,3367,1800,633,633,33,33,133,500,33,67,33,33,67,0,33,33,33,9064,0.579873329
1/1/2024,267,1200,1433,2167,467,300,33,33,167,333,0,67,0,0,33,67,67,33,33,6700,133,1567,2267,2467,733,500,33,67,167,767,0,100,33,33,0,33,100,67,0,9067,0.575061838
1/2/2024,267,1767,1700,2100,567,367,133,67,133,267,33,33,33,33,133,0,33,0,67,7733,267,3367,4300,2533,800,500,100,67,133,533,0,233,200,67,0,33,133,33,0,13299,0.632322176
1/3/2024,200,1767,2100,2233,533,367,233,33,167,233,100,233,33,0,33,67,67,33,100,8532,167,2500,4367,3200,467,633,167,67,267,533,0,100,67,33,100,67,0,33,33,12801,0.600056251
1/4/2024,467,1867,1900,1967,700,700,67,67,267,267,33,67,0,0,133,67,0,0,33,8602,433,2933,4700,2600,933,867,133,100,267,500,0,167,33,0,67,67,133,0,0,13933,0.618282671
1/5/2024,367,2300,2233,2167,900,733,267,0,33,367,67,133,67,0,100,0,100,67,0,9901,333,3300,4900,3400,1467,700,133,33,100,700,33,267,0,0,33,67,100,0,0,15566,0.611222366
1/6/2024,467,1733,1533,2167,833,533,300,0,100,433,67,200,0,67,67,33,133,33,0,8699,300,2433,3333,2333,1333,767,100,0,33,300,33,133,33,67,267,67,100,167,0,11799,0.575617133
1/7/2024,433,1033,1400,1867,933,467,233,0,33,533,67,233,0,33,100,0,133,33,0,7531,400,1700,3433,2000,1167,567,167,33,233,500,200,133,33,33,100,0,67,200,33,10999,0.593577982
1/8/2024,433,1767,2467,1667,500,433,200,33,233,367,267,300,100,0,67,67,167,100,33,9201,533,2933,4467,1600,867,467,233,33,133,367,267,233,33,33,33,67,133,100,33,12565,0.577276486
1/9/2024,267,2000,2567,2267,1167,433,133,0,167,467,100,133,67,33,100,67,100,33,100,10201,533,3467,5200,2500,1533,667,233,33,267,467,333,200,33,33,0,67,33,67,0,15666,0.605636525
1/10/2024,500,2667,2600,2667,933,433,233,100,67,167,67,333,133,33,100,33,67,67,33,11233,467,3900,4600,3067,1633,1000,267,67,200,267,233,300,67,33,100,33,0,133,0,16367,0.593007246
1/11/2024,400,2467,2100,2567,633,400,200,0,67,333,67,267,67,33,100,67,100,133,0,10001,533,4333,4367,2967,1467,967,400,0,200,533,100,133,133,0,100,33,167,100,0,16533,0.62308736
1/12/2024,133,1267,1567,1933,633,433,133,33,133,233,33,33,0,0,100,33,33,100,33,6863,233,1467,3200,3133,1233,1133,167,33,233,300,0,67,33,0,67,0,0,67,33,11399,0.624192312
1/1/2025,167,1367,1633,2233,467,500,233,0,33,333,67,167,33,0,67,100,67,33,0,7500,333,2300,2867,3067,1000,800,133,100,100,800,0,33,133,67,33,0,100,133,0,11999,0.615364891
1/2/2025,400,1900,1600,2367,567,400,67,33,167,333,0,300,67,0,33,33,167,33,0,8467,533,2900,4100,2500,800,533,267,100,133,833,100,233,0,0,33,67,67,100,0,13299,0.610998805
1/3/2025,400,2733,2700,2933,733,567,133,67,100,367,100,267,133,0,33,167,0,133,0,11566,333,3333,4500,3600,800,367,233,33,167,500,167,0,100,0,33,0,33,167,0,14366,0.553987352
1/4/2025,267,1900,2800,2067,967,467,367,100,33,400,67,433,67,0,100,0,100,33,67,10235,467,2500,4633,2933,1433,633,167,67,267,633,100,167,0,0,33,0,167,133,67,14400,0.584534199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.570074524
